X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,t,TE,y,e,wt,v
b,a,c,c,c,-0.48,0.08,1.09,-2.43,-1.73,0.15,-0.77,-0.19,0.09,-0.06,-0.19,-1.12,1.16,1.03,-0.25,1,6.98,12.350000000000001,0.68,1.47,18.15
d,e,b,a,b,-0.76,-0.05,-0.17,1.99,-0.68,0.67,1.32,1.68,1.0,-0.49,-1.8,-1.54,-0.37,1.45,0.05,1,12.67,20.45,0.91,1.1,22.5
c,e,a,c,c,0.2,0.02,-0.87,0.94,-0.82,1.28,0.72,-0.52,-0.66,0.67,-0.44,0.42,1.75,1.54,-0.87,1,15.04,22.75,0.71,1.41,32.08
e,e,d,d,d,-0.65,-0.33,0.99,-0.33,0.35,-0.63,-1.03,-1.05,1.46,1.25,-1.32,0.0,0.28,0.3,-0.49,1,11.77,17.98,0.49,2.04,36.68
a,a,d,d,d,-0.8,0.15,1.45,0.18,-0.27,0.13,-0.21,-0.1,0.95,-1.75,0.44,-0.82,0.44,-0.56,-1.11,0,6.4,4.82,0.77,4.35,20.97
b,e,a,c,e,-1.43,0.06,0.47,0.33,-1.12,-1.02,0.98,-0.98,-0.37,-0.05,-0.64,0.49,-1.22,-0.66,1.27,0,7.23,4.45,0.29,1.41,6.27
c,b,e,e,d,0.03,1.06,-1.08,0.49,-0.13,-0.86,1.45,-0.75,-0.67,-1.31,-2.64,0.2,0.75,0.39,-0.53,0,8.82,5.590000000000001,0.46,1.85,10.34
a,b,d,a,c,0.71,-0.63,-0.56,0.13,-1.43,0.78,1.32,0.65,-1.47,2.15,2.43,-1.51,0.23,0.84,-0.08,1,14.87,20.84,0.82,1.22,25.42
c,d,c,d,c,1.24,-0.26,-1.02,-0.84,-0.19,0.67,0.03,-1.09,0.24,0.97,-0.2,0.82,-0.66,-0.89,0.73,1,8.64,15.440000000000001,0.48,2.08,32.12
b,a,c,e,c,0.3,-0.07,0.75,-1.59,0.22,-0.98,0.67,-0.73,0.72,0.07,0.05,-0.94,-0.88,-0.41,-0.9,0,5.44,5.82,0.48,1.92,11.17
c,d,e,e,d,-2.11,-0.3,-0.32,1.59,0.38,0.87,0.46,1.41,-1.42,-3.12,-0.85,-0.09,-0.35,0.52,0.53,1,8.87,15.79,0.63,1.59,25.11
c,b,e,e,b,-0.78,0.89,1.24,-1.55,1.01,-1.39,0.64,-0.71,-0.46,-0.94,0.69,-1.1,-0.18,-1.5,-0.54,1,8.5,14.82,0.45,2.22,32.9
b,a,c,c,d,-0.43,-0.47,0.66,0.48,-1.05,-0.39,0.93,0.12,0.48,1.37,-1.27,-0.9,-0.63,0.56,0.23,1,8.32,13.830000000000002,0.53,1.89,26.14
c,b,d,d,c,-1.36,0.24,-1.41,-0.16,-0.89,1.03,2.08,0.11,2.76,-1.49,1.22,0.25,-0.37,0.46,-0.6,1,12.74,19.68,0.77,1.3,25.58
e,b,b,b,e,0.02,-0.44,-0.06,-0.24,1.32,0.43,-0.31,1.13,-0.63,0.47,-0.4,-0.79,1.49,-1.21,-0.4,0,12.45,7.41,0.58,2.38,17.64
d,b,c,b,c,0.75,0.6,1.05,0.45,1.87,-1.06,-0.55,-2.24,-1.09,-1.29,0.34,-0.51,-1.39,0.34,-0.34,1,12.92,19.32,0.38,2.63,50.81
e,d,b,b,c,0.96,-1.88,0.7,0.62,-0.28,-0.88,0.4,-1.44,0.68,-0.39,-0.02,1.56,-0.8,0.49,1.03,0,10.4,6.09,0.51,2.04,12.42
e,d,a,b,a,-1.66,0.32,0.99,-0.01,-0.62,1.14,-0.02,-1.28,0.42,0.55,1.04,-0.16,-0.33,-0.18,0.92,0,11.62,6.03,0.6,2.5,15.08
a,d,c,a,b,-0.02,-1.34,-0.73,-0.97,1.15,-1.71,1.09,-0.84,0.46,0.39,-0.05,-0.88,-0.07,-0.38,0.97,1,8.73,14.010000000000002,0.34,2.94,41.19
c,d,a,c,b,2.34,-0.76,-0.3,-1.01,0.3,1.58,0.85,-2.24,0.83,0.63,0.96,-0.14,0.57,0.21,-2.47,1,12.55,19.28,0.73,1.37,26.41
c,d,c,b,e,0.11,0.59,-0.38,2.7,1.23,-1.32,-1.25,1.14,-0.4,1.91,-1.22,-0.09,-1.34,0.38,-0.78,1,13.72,21.200000000000003,0.75,1.33,28.2
e,d,a,b,a,1.0,-2.89,-0.72,-1.3,1.45,0.34,-1.01,-0.19,1.56,-0.29,-1.53,-0.63,0.34,0.1,-0.61,0,12.99,5.090000000000001,0.5,2.0,10.18
b,b,a,c,a,-0.16,0.5,-0.09,1.2,-1.26,0.57,0.06,-0.33,-1.33,-0.11,0.1,-0.79,0.91,-0.07,-1.37,1,12.3,17.94,0.64,1.56,27.99
b,a,c,a,c,-0.37,-0.2,-0.65,0.66,0.79,-0.57,0.03,1.96,-1.31,0.85,0.25,0.65,0.56,0.17,-1.21,0,11.68,8.190000000000001,0.8,5.0,40.95
c,a,c,a,b,-0.87,-1.44,-0.89,0.22,-0.77,0.24,0.04,0.44,-1.41,1.28,2.45,0.79,1.05,0.68,0.28,0,13.2,8.17,0.67,3.03,24.76
a,c,a,a,a,-0.41,-0.02,0.26,0.29,-1.02,-1.11,-0.2,-0.67,0.46,-0.85,0.65,-3.06,-1.22,1.93,2.03,1,11.25,15.350000000000001,0.59,1.69,25.94
e,a,e,d,d,-0.34,0.58,0.23,-0.61,-0.53,-0.38,-0.36,-1.25,-0.5,-0.1,-0.55,0.43,1.63,-0.55,1.11,1,8.44,15.84,0.73,1.37,21.7
a,a,d,e,b,0.41,1.53,0.99,0.77,-0.58,0.03,0.95,-0.17,0.17,-0.2,-0.12,1.62,0.42,1.38,0.52,1,12.87,24.66,0.95,1.05,25.89
a,d,d,d,d,1.09,-0.22,0.55,-0.07,0.83,-0.07,-0.78,1.19,-1.72,-0.17,-0.23,0.98,-0.03,0.02,-1.74,1,6.58,13.8,0.86,1.16,16.01
b,a,e,d,e,2.99,-0.52,0.75,0.39,-1.23,-0.98,-0.56,0.59,1.14,1.18,0.49,0.2,-1.62,0.97,-2.39,1,8.42,16.71,0.6,1.67,27.91
a,a,a,c,b,-0.63,-1.59,-0.17,0.07,0.06,1.03,1.61,-0.24,1.78,-0.86,-0.15,-0.5,-0.65,-0.16,-0.98,1,10.63,14.760000000000002,0.32,3.12,46.05
d,c,a,a,d,-0.83,-0.42,-1.33,-0.87,-0.72,-1.06,0.83,-0.0,-0.22,-0.76,0.55,-0.01,0.94,-0.34,0.96,1,8.73,14.32,0.64,1.56,22.34
b,d,c,b,c,1.46,-0.99,0.84,0.3,0.14,0.69,-0.18,-0.6,-1.32,-0.96,-2.11,-1.29,1.16,-0.98,-0.09,1,8.82,14.75,0.8,1.25,18.44
a,e,a,d,c,0.85,-0.87,-1.48,-0.49,0.16,-0.55,2.07,0.61,0.5,-1.04,1.39,-0.46,-0.3,-1.41,-0.51,1,8.95,15.66,0.4,2.5,39.15
e,a,b,d,a,0.16,0.19,-0.26,-0.92,0.11,0.64,1.56,1.32,-0.55,-0.76,0.55,-0.89,-0.6,1.92,-1.73,1,5.45,11.61,0.79,1.27,14.74
e,c,d,c,d,-0.74,0.67,1.56,-0.59,0.04,-0.27,1.55,-0.04,0.9,-0.83,-1.62,0.28,-0.55,-0.97,1.0,1,9.29,14.879999999999999,0.63,1.59,23.66
d,e,c,a,d,1.31,-1.07,-0.72,-0.5,1.65,-0.38,1.05,-0.73,0.94,-0.58,0.86,-0.19,0.11,1.27,-3.68,1,11.51,17.96,0.7,1.43,25.68
c,b,e,a,d,1.28,0.22,0.36,1.46,-0.18,-1.05,-1.5,1.19,1.28,-0.1,0.81,0.8,-0.22,0.6,0.32,1,12.84,24.41,0.96,1.04,25.39
d,d,e,d,a,0.43,-1.23,0.18,-0.83,3.54,0.01,-0.23,1.63,-1.09,-1.12,-0.47,1.87,0.31,0.96,0.25,1,13.96,25.0,0.83,1.2,30.0
d,a,b,a,a,0.39,1.67,2.74,-1.81,-0.32,0.87,0.59,-1.44,0.16,-0.32,0.03,-0.6,-0.18,-0.68,0.08,1,7.66,15.93,0.74,1.35,21.51
b,e,d,e,e,-1.29,-1.86,-2.42,1.01,-1.0,0.43,-0.38,0.09,0.14,-0.89,0.44,2.07,0.63,-0.23,-0.44,0,10.24,6.890000000000001,0.45,1.82,12.54
e,a,a,b,d,1.44,0.18,0.14,0.0,0.2,0.61,1.17,0.06,-1.1,2.63,-1.68,2.09,0.37,0.83,-0.07,1,15.79,26.240000000000002,0.95,1.05,27.55
c,d,a,a,a,-0.64,2.28,-1.64,-0.7,-1.92,-0.4,0.05,-0.28,0.38,0.8,-0.56,-0.92,0.65,0.4,0.95,1,11.88,18.13,0.77,1.3,23.57
e,d,d,c,d,0.69,-0.0,-0.28,-1.44,0.86,0.1,0.44,0.91,-0.72,0.08,-0.5,-1.03,-0.61,-2.08,-0.42,1,6.72,12.440000000000001,0.54,1.85,23.01
e,b,a,d,d,0.4,0.54,-0.88,-0.99,1.34,1.05,-0.55,-0.52,-0.5,0.69,-1.88,0.13,-1.84,0.57,-2.94,0,12.3,4.15,0.27,1.37,5.69
b,c,c,d,a,-1.09,0.64,0.14,-1.88,0.65,-1.0,1.27,-1.08,-0.93,-0.07,0.31,-1.43,-1.34,-1.29,0.49,1,6.54,9.41,0.13,7.69,72.36
b,e,b,e,c,-0.29,0.04,-0.07,-0.92,0.41,1.28,0.65,0.53,-0.43,-2.02,3.15,0.26,0.66,-0.14,-0.65,0,12.48,10.13,0.62,2.63,26.64
a,c,d,d,d,1.38,-1.06,-1.2,-0.43,-1.5,-1.36,-0.32,1.85,0.26,-0.4,1.53,0.64,1.3,-0.93,0.78,1,9.53,20.36,0.63,1.59,32.37
c,b,c,c,e,-0.88,-0.13,0.38,-1.5,-0.42,2.48,-0.5,-0.57,0.47,1.61,-1.62,-0.66,0.1,0.2,0.18,1,12.44,16.990000000000002,0.68,1.47,24.98
d,b,d,a,b,-0.79,-1.6,0.85,0.23,0.08,0.68,0.53,-0.58,-0.04,-0.54,-1.14,0.14,0.15,1.31,-0.84,1,8.44,12.84,0.75,1.33,17.08
d,b,a,a,e,0.54,-1.12,-0.68,-0.92,-1.29,-1.72,-1.3,0.66,0.77,0.15,0.0,-0.96,-1.55,-0.06,0.14,1,8.12,13.66,0.31,3.23,44.12
d,c,d,a,a,0.08,-1.77,-1.36,-0.89,-0.18,0.88,-1.11,-1.32,0.77,0.49,-3.24,-1.43,-0.65,-0.64,-0.05,0,9.58,0.3800000000000008,0.29,1.41,0.54
e,b,b,a,b,2.63,-0.57,-0.25,2.46,0.05,0.8,1.06,2.3,0.96,0.5,-0.98,1.16,0.22,0.18,3.16,1,19.25,34.36,0.95,1.05,36.08
c,e,b,c,d,1.53,-0.34,-0.4,0.48,-0.67,-0.13,-0.67,0.57,-0.34,-1.09,0.26,2.36,-0.58,-2.02,0.14,1,8.94,19.55,0.58,1.72,33.63
e,b,b,b,b,-1.0,0.05,0.26,-0.08,-0.59,-0.43,0.53,-0.23,-0.57,-0.87,0.45,-0.07,1.15,-0.7,1.07,1,10.55,16.71,0.35,2.86,47.79
d,b,a,c,e,-0.84,-0.64,0.7,0.5,0.32,-1.29,-0.48,-0.12,1.68,0.49,-0.19,-1.03,-0.61,1.31,-0.57,1,10.8,15.420000000000002,0.39,2.56,39.48
e,a,c,b,c,-0.86,-0.5,1.44,-0.75,2.26,1.06,-0.07,0.39,1.46,1.97,-0.88,0.02,-0.27,-0.22,0.95,1,18.64,27.41,0.9,1.11,30.43
a,c,a,b,a,-0.14,-0.77,0.02,2.23,1.01,0.21,1.46,-0.61,0.19,-0.51,-0.67,-0.32,-0.97,-1.22,-1.19,0,14.02,4.8500000000000005,0.65,2.86,13.87
d,b,c,a,d,-0.32,0.17,-0.28,-1.25,0.44,-0.23,0.62,-0.13,0.17,-0.77,-1.11,2.01,-1.17,-1.68,0.13,0,9.47,7.26,0.4,1.67,12.12
d,e,a,e,b,-0.06,1.11,-2.1,0.8,-0.63,1.18,-0.01,0.09,-0.54,0.14,-0.98,-1.23,1.16,-1.52,-0.85,1,14.32,20.56,0.7,1.43,29.4
b,d,c,a,a,0.85,-1.47,-2.19,-0.04,-0.22,-2.71,-0.71,-0.27,0.85,1.39,0.18,-0.41,0.02,0.76,1.79,0,10.26,6.7700000000000005,0.34,1.52,10.29
b,b,a,c,c,-0.57,0.99,-0.07,-0.9,0.14,0.47,0.18,-0.59,0.45,1.28,-0.83,-0.44,-0.99,0.1,0.29,0,12.6,5.170000000000001,0.85,6.67,34.48
c,a,d,c,c,0.03,-0.71,-0.24,-1.16,-0.41,1.66,-1.26,0.7,0.69,-0.3,-1.91,-0.28,-0.26,-1.26,-1.38,0,9.08,3.37,0.76,4.17,14.05
d,c,c,b,d,-0.25,0.19,1.01,-0.01,-0.09,0.15,0.71,-2.22,0.13,0.61,-1.73,-1.8,-0.38,-0.48,-0.09,1,8.3,11.09,0.54,1.85,20.52
e,e,c,e,c,-1.17,0.06,1.16,-1.21,1.4,-1.77,0.57,-1.12,-0.24,2.63,0.8,-0.55,-0.64,0.72,-1.44,1,14.48,19.2,0.75,1.33,25.54
e,a,c,e,a,0.83,-0.31,0.96,0.01,-1.6,0.47,-0.08,0.7,1.57,-1.55,0.99,-0.85,-1.18,-1.83,0.37,0,9.04,7.050000000000001,0.68,3.13,22.07
c,d,d,d,c,-0.09,-1.26,-0.01,-1.91,-0.05,0.25,0.21,1.97,0.12,-0.25,-0.1,-1.46,0.07,0.02,-0.04,0,4.06,6.540000000000001,0.57,2.33,15.24
b,e,a,d,c,0.36,-1.18,0.49,0.07,0.55,0.62,0.74,-0.2,-1.52,0.52,0.56,-0.63,0.05,-0.47,-0.27,1,10.02,16.68,0.55,1.82,30.36
e,d,c,d,d,0.93,-0.0,0.64,0.48,-0.18,-0.16,-0.62,-0.04,-0.09,-0.53,-0.57,-1.45,-0.25,1.22,0.21,1,4.13,10.34,0.84,1.19,12.3
e,d,d,d,e,-0.9,-0.31,0.05,-0.89,-0.89,-0.66,-0.72,0.76,1.35,1.11,-0.47,-2.26,1.5,-0.72,0.15,0,10.92,4.680000000000001,0.45,1.82,8.52
b,e,d,a,b,1.49,-0.59,-0.74,0.63,-0.16,0.43,-0.92,-1.07,-0.24,1.17,-0.54,-1.37,0.26,-0.77,-0.25,0,9.39,5.470000000000001,0.62,2.63,14.39
e,b,c,a,a,1.65,0.92,1.01,-1.89,-1.18,0.04,-0.6,-1.08,0.16,0.93,0.46,0.48,-1.16,-0.86,0.18,0,10.5,7.32,0.8,5.0,36.6
d,d,d,e,c,0.7,0.61,-1.19,1.83,0.86,0.32,0.15,-0.77,0.46,0.18,-0.03,0.01,0.53,-1.67,-0.51,1,13.46,22.28,0.9,1.11,24.73
c,e,e,d,a,-1.11,0.28,-0.21,-0.09,1.13,-0.41,-0.36,-0.45,-0.3,0.73,-0.82,-0.21,1.19,-0.59,-0.48,1,9.31,15.100000000000001,0.77,1.3,19.63
c,c,c,c,c,-0.29,0.07,-2.24,0.61,0.82,2.71,-0.05,-0.69,-0.69,-1.6,-0.09,0.86,-0.46,-1.06,-1.06,1,12.1,18.47,0.71,1.41,26.04
c,a,b,d,b,-1.02,-0.45,0.37,1.12,1.73,-3.8,-1.04,0.57,-0.9,-2.07,-0.78,0.53,-1.29,-1.25,-0.27,1,8.12,14.490000000000002,0.21,4.76,68.97
a,b,e,e,e,0.11,-1.66,1.33,-0.49,-0.37,-0.66,-0.77,-0.41,-1.75,0.52,1.2,0.57,0.83,-0.36,-0.11,1,9.5,16.32,0.73,1.37,22.36
c,b,b,d,a,0.14,0.32,-0.55,-1.9,-0.86,-1.33,-0.38,-0.6,-0.7,-2.02,0.73,-0.6,2.68,1.8,-0.94,0,10.25,5.99,0.55,2.22,13.3
c,c,e,a,c,0.5,0.18,1.16,-0.3,1.15,-0.84,0.23,-0.88,0.11,-0.57,0.68,-0.21,-0.17,0.74,-0.21,1,8.7,17.59,0.5,2.0,35.18
c,e,e,a,b,1.6,0.25,-0.24,0.19,1.83,-0.74,0.63,0.01,0.14,0.82,0.82,-0.31,-1.17,0.69,-0.19,1,11.55,20.39,0.83,1.2,24.47
a,c,c,a,b,0.8,-0.34,2.06,0.35,1.43,1.82,0.95,-0.32,1.31,-1.66,0.42,0.65,2.52,0.49,-0.13,1,21.18,33.63,0.97,1.03,34.64
b,b,c,d,d,-0.85,-0.71,-1.05,-1.47,-0.65,1.61,-1.98,-0.29,0.46,1.81,-1.16,-2.18,1.79,-1.68,0.33,1,15.09,19.64,0.41,2.44,47.92
c,a,a,b,c,2.05,-0.84,-0.02,1.51,-0.12,1.07,2.01,0.36,0.27,-0.61,-2.21,1.19,-0.41,-1.38,0.9,1,14.23,23.41,0.79,1.27,29.73
a,d,e,e,d,1.32,2.22,-0.08,-0.36,0.08,3.13,0.29,1.13,-1.14,1.63,-0.14,0.16,-0.82,1.02,0.67,1,15.44,27.380000000000003,0.98,1.02,27.93
d,d,a,a,c,1.8,1.04,-2.02,-0.44,2.45,-0.99,0.13,-0.07,-0.25,0.98,-0.64,-0.83,-0.07,-1.02,-0.85,1,13.27,20.150000000000002,0.66,1.52,30.63
b,a,d,c,c,0.62,1.13,0.53,0.47,-0.48,-0.59,0.35,-0.24,1.6,0.07,1.91,-0.11,-1.46,-0.13,-0.13,1,11.65,20.88,0.74,1.35,28.19
b,e,a,e,b,-0.88,0.16,1.12,0.27,-0.52,-0.22,1.01,0.53,-0.71,0.18,-1.32,-0.62,-0.98,-1.45,0.93,1,8.08,12.77,0.76,1.32,16.86
e,e,c,d,a,-0.48,-0.78,-1.12,-1.13,-0.7,0.32,0.81,-0.53,-0.6,-1.62,0.85,-0.35,0.13,0.18,0.47,0,6.23,5.03,0.26,1.35,6.79
c,a,d,c,b,-0.38,0.42,-0.1,0.27,1.67,-0.27,0.01,1.64,-2.0,0.31,-1.27,-0.59,0.0,2.0,-0.82,1,8.76,15.23,0.64,1.56,23.76
c,e,a,d,a,-1.26,0.69,-1.22,0.48,0.7,-1.78,0.03,-0.72,0.28,0.42,-1.11,0.79,1.01,1.69,1.93,0,14.1,8.32,0.85,6.67,55.49
b,b,c,b,b,-0.79,-2.21,-1.02,0.77,0.7,0.62,0.35,-3.29,-0.99,-0.84,-1.41,-0.89,1.17,-1.96,-1.74,0,12.47,0.0,0.12,1.14,0.0
c,a,d,e,a,-0.92,0.94,-0.06,-0.62,0.68,-0.37,-0.67,0.54,0.7,-0.84,1.69,-2.79,-2.3,0.3,-0.12,1,8.23,13.309999999999999,0.36,2.78,37.0
b,e,c,b,a,0.46,0.91,1.59,-1.15,1.02,1.7,0.64,-0.8,-0.42,0.18,0.19,-0.13,-1.07,-1.75,-1.03,1,12.88,20.12,0.68,1.47,29.58
a,b,a,c,d,-0.21,0.11,-1.24,0.1,0.22,-0.15,-0.01,0.71,-0.62,-0.83,0.5,-0.07,0.38,2.03,1.74,1,10.55,18.330000000000002,0.56,1.79,32.81
a,c,d,e,d,2.49,-0.57,-1.15,0.69,-1.42,1.47,-0.19,0.01,-0.02,-1.85,0.73,-0.94,-0.46,-1.22,3.07,0,13.04,7.32,0.61,2.56,18.74
c,d,c,b,b,-1.74,0.02,1.19,-0.77,-0.82,0.54,-0.13,-1.13,0.25,1.13,-1.59,-0.35,2.02,-0.98,0.89,1,12.28,17.27,0.61,1.64,28.32
e,b,c,a,e,0.44,0.6,-0.9,2.12,-0.19,-1.19,-0.61,-0.4,1.38,0.24,0.0,-1.73,-0.69,0.54,-0.24,1,12.71,19.580000000000002,0.42,2.38,46.6
c,a,c,a,c,0.99,-0.55,-0.37,1.26,0.51,-2.16,-1.99,0.4,-0.09,-0.38,0.59,-0.41,0.31,0.18,-0.75,1,8.9,17.72,0.47,2.13,37.74
a,b,a,b,a,-0.63,-0.6,0.62,1.15,0.93,0.27,0.75,0.39,-0.31,-1.68,2.03,-0.71,-0.13,0.33,1.23,1,14.18,22.560000000000002,0.65,1.54,34.74
b,d,e,b,e,-0.34,-1.11,-1.92,-0.14,-0.64,-0.77,-0.61,-0.54,-3.17,-0.51,0.68,0.62,1.05,1.4,-1.32,1,6.73,10.71,0.43,2.33,24.95
a,b,c,d,e,-0.58,-1.2,0.03,1.2,-1.73,-0.8,-1.22,0.47,0.96,-1.68,0.18,-0.47,-0.18,0.83,0.64,1,7.47,12.8,0.34,2.94,37.63
d,d,c,e,c,-0.22,0.43,0.89,0.24,-0.77,-0.01,0.68,1.02,-0.26,0.21,-0.03,-0.9,-1.14,0.19,-1.3,1,6.32,12.05,0.82,1.22,14.7
d,e,c,b,e,1.87,1.1,1.97,-1.39,0.14,0.96,-1.43,1.02,-0.12,-1.06,2.07,0.92,-0.26,1.03,-0.5,1,11.34,23.720000000000002,0.79,1.27,30.12
d,c,a,a,c,-1.33,0.59,-0.8,0.85,0.9,1.73,0.62,0.56,-0.16,-0.25,-0.85,-0.42,0.04,-1.25,0.66,0,13.5,7.470000000000001,0.81,5.26,39.29
c,e,a,b,c,-0.81,-1.13,-0.75,0.76,-0.45,1.04,0.53,1.62,-1.37,-0.27,-2.43,-1.86,-0.35,0.81,0.5,1,11.62,14.45,0.55,1.82,26.3
d,e,b,b,e,0.41,2.74,-1.45,-0.41,-0.19,-1.63,0.21,-0.85,-0.13,0.82,-0.44,0.75,1.84,-1.49,1.28,1,15.84,26.27,0.81,1.23,32.31
e,e,e,d,a,-0.42,-0.32,-0.22,0.96,0.25,-0.81,-0.04,-0.63,-1.87,-0.33,0.47,-0.51,-0.23,0.41,1.66,1,8.58,14.98,0.4,2.5,37.45
e,c,c,e,a,-0.42,0.11,-0.66,-0.69,-0.57,-0.49,-0.86,-1.65,-1.62,-1.81,-0.79,0.16,-0.54,-0.01,0.37,0,5.89,3.3600000000000003,0.33,1.49,5.01
d,e,b,e,a,0.22,1.29,1.35,1.57,0.7,-0.53,0.4,-0.05,1.42,-0.5,-0.38,-0.11,0.13,-2.14,2.37,1,15.35,25.560000000000002,0.96,1.04,26.58
a,b,e,b,b,-1.41,1.18,-0.74,2.24,-1.02,-0.51,0.22,-0.2,-1.04,-0.53,0.31,1.12,-0.49,-1.83,-0.78,0,12.87,6.57,0.77,4.35,28.58
a,d,a,b,c,0.97,0.44,1.05,-1.21,-2.49,0.99,-2.03,-0.37,-0.45,1.23,1.06,2.17,0.48,0.31,-1.45,1,16.96,25.92,0.73,1.37,35.51
e,a,b,e,d,1.19,0.31,-0.7,-0.75,-0.02,2.22,0.85,-1.3,-0.29,-0.55,-0.08,-0.06,-1.79,0.61,0.15,1,7.29,12.16,0.5,2.0,24.32
d,a,a,a,c,-0.7,0.72,-1.07,0.31,1.0,0.46,2.35,1.81,-0.06,-0.02,0.16,-0.85,-0.3,0.79,-0.62,0,10.07,7.24,0.88,8.33,60.31
c,b,d,c,d,-0.61,0.57,1.22,-0.73,-1.11,-0.04,-0.85,1.04,0.36,0.65,0.77,-1.31,-3.09,-1.46,-0.24,1,8.46,13.330000000000002,0.54,1.85,24.66
d,c,e,c,c,-0.25,-0.16,-1.01,1.27,-0.07,-0.28,1.33,-0.73,-0.65,0.78,-0.07,-0.03,0.82,-0.09,-0.92,0,10.41,6.9,0.5,2.0,13.8
e,e,b,e,e,-0.25,0.06,0.98,1.41,-1.67,-1.11,-1.77,-0.57,0.48,0.47,-0.49,-1.56,-0.71,-0.91,-1.03,0,8.52,2.8600000000000003,0.5,2.0,5.72
c,e,a,c,d,-0.28,-0.31,-0.16,-2.53,-0.66,-0.03,0.12,-0.15,-0.75,-0.23,0.02,0.93,-0.71,0.44,0.03,1,6.77,11.940000000000001,0.68,1.47,17.55
d,b,a,b,e,0.15,-1.08,0.33,-0.19,-1.91,0.87,-1.06,0.69,-0.22,0.19,0.91,-0.31,-0.4,-1.22,-2.18,0,7.93,5.79,0.29,1.41,8.16
b,b,c,c,a,-1.27,1.4,-0.38,0.15,1.09,1.67,-3.22,-0.56,2.11,0.49,0.43,-2.05,0.1,-1.16,-0.62,0,18.26,6.010000000000001,0.81,5.26,31.61
c,e,c,c,c,-0.53,-0.84,0.93,2.11,1.34,-2.13,0.72,-1.09,-1.48,-0.02,-2.09,0.84,-0.83,0.48,-1.32,1,11.38,16.38,0.59,1.69,27.68
c,c,e,e,c,-1.44,-0.02,1.88,1.18,0.12,0.72,-1.02,0.74,2.01,-1.48,-0.5,2.15,1.69,-0.89,0.24,1,18.82,30.62,0.93,1.08,33.07
d,b,c,b,b,1.01,1.24,-0.32,0.75,-0.52,2.25,1.49,-1.42,0.21,-0.01,-0.28,0.4,0.36,0.89,0.86,1,15.19,25.18,0.82,1.22,30.72
a,a,e,a,d,-0.79,-1.31,-2.24,0.02,0.15,-1.65,-0.28,1.49,0.36,0.81,0.71,0.14,-0.33,-1.18,-0.37,0,6.45,6.9,0.45,1.82,12.56
e,d,d,c,a,-0.42,-1.22,0.66,0.28,1.01,0.19,0.67,-0.22,0.72,1.43,0.23,-0.83,-0.35,1.55,-0.07,0,10.82,6.53,0.83,5.88,38.4
c,b,e,e,a,-0.97,-1.98,0.79,-0.47,3.02,0.9,-0.38,-1.16,-0.82,1.17,0.21,0.35,1.71,0.04,0.44,1,18.23,26.28,0.76,1.32,34.69
c,c,b,d,a,-0.55,0.1,0.55,1.53,0.66,0.23,-0.83,0.14,-1.32,-2.43,0.99,0.15,-0.84,0.85,0.72,0,8.14,7.86,0.51,2.04,16.03
c,b,b,a,b,0.57,0.84,1.8,-0.41,1.41,-0.21,-0.84,0.01,-0.03,-0.27,-1.26,-0.45,-0.15,-0.62,0.06,1,10.45,18.1,0.76,1.32,23.89
e,b,a,c,b,0.38,1.13,1.62,-0.68,-0.38,0.46,-1.28,-0.58,0.62,-1.91,0.95,-0.38,-1.57,0.59,-0.95,1,11.78,18.490000000000002,0.6,1.67,30.88
c,a,d,b,b,-0.71,-1.28,-0.76,-2.04,1.38,-1.2,-1.46,-1.91,0.18,1.03,0.02,0.96,-0.29,0.07,-0.21,0,11.92,5.050000000000001,0.28,1.39,7.02
a,d,c,b,e,1.68,-0.69,0.68,0.92,-0.97,0.48,-0.47,-0.36,0.65,1.12,0.31,0.34,-0.6,0.94,-0.48,1,10.68,18.86,0.8,1.25,23.58
e,c,b,a,a,1.07,-1.06,0.55,-0.38,-0.52,-1.32,-0.0,-0.9,0.3,0.39,0.95,-0.39,0.88,0.35,-2.17,0,9.01,6.890000000000001,0.6,2.5,17.23
d,b,c,e,e,0.03,1.25,-0.64,0.64,1.54,-0.11,-1.12,-0.69,0.85,-1.24,-0.12,-1.01,-1.19,-0.19,-0.28,1,11.53,17.61,0.72,1.39,24.48
a,d,c,b,b,0.22,-0.24,0.49,0.82,-0.53,0.63,1.39,-0.07,-0.2,-0.23,1.45,0.25,1.84,-1.99,1.2,1,14.37,24.55,0.89,1.12,27.5
a,c,a,d,a,0.17,1.22,-0.52,-0.25,-0.57,-2.38,1.76,-0.73,0.63,-1.74,-0.07,-0.63,1.48,-1.38,-0.05,0,10.95,7.0,0.39,1.64,11.48
a,c,e,b,a,0.39,-0.01,0.85,1.66,-0.69,0.32,-0.05,-0.37,0.77,-0.83,0.99,-0.09,0.09,-1.05,-1.63,0,11.27,7.2,0.68,3.13,22.54
c,d,b,c,c,-1.78,0.6,0.52,-1.64,-0.2,0.55,0.91,0.97,1.05,-0.93,0.29,-0.58,-0.41,0.39,-0.02,0,8.65,7.3100000000000005,0.8,5.0,36.55
c,d,c,c,d,1.44,0.59,1.27,0.35,0.16,-1.01,-0.73,0.12,-2.14,-0.69,0.68,-0.89,0.65,-0.97,-0.5,0,6.64,7.220000000000001,0.63,2.7,19.49
