X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,t,TE,y,e,wt,v
c,a,-1.84,0.9,0.59,-0.46,-0.01,-0.18,0.75,0.65,1,4.43,10.08,0.8,1.25,12.6
c,d,-0.56,0.39,0.23,1.71,-0.45,-0.43,-0.33,-0.66,1,4.34,11.17,0.59,1.69,18.88
a,c,-1.43,1.42,0.13,-0.74,0.64,0.8,0.38,-0.85,1,6.59,11.530000000000001,0.82,1.22,14.07
b,d,0.1,-0.68,-0.6,-1.47,0.49,-0.63,0.03,-0.68,1,4.43,8.82,0.73,1.37,12.08
b,c,-1.14,0.05,-0.73,-0.37,0.95,0.93,-1.48,-1.07,0,4.33,5.71,0.58,2.38,13.59
c,d,-0.57,0.24,0.72,-0.98,-0.41,-0.03,-0.04,0.78,0,6.02,4.9,0.43,1.75,8.58
b,c,1.05,0.5,-0.3,-0.76,0.57,-1.13,3.56,-0.23,1,6.86,14.61,0.83,1.2,17.53
c,e,-1.57,0.17,0.85,-1.15,-0.37,-0.25,-2.15,1.94,1,6.36,9.32,0.6,1.67,15.56
c,b,0.7,-0.38,-1.17,0.89,-0.45,0.04,0.37,1.16,1,4.71,10.969999999999999,0.66,1.52,16.67
b,b,-0.4,-1.85,0.52,-0.65,0.49,-1.68,-1.54,-1.6,1,2.95,6.05,0.21,4.76,28.8
e,a,-0.03,-0.77,-0.26,0.23,0.55,0.29,-1.04,-0.48,0,3.23,5.75,0.71,3.45,19.84
e,c,-0.53,-0.31,1.53,1.21,0.56,-1.52,-0.29,-0.61,0,5.85,4.3,0.52,2.08,8.94
d,a,1.18,-0.26,0.84,-0.01,-1.47,-0.62,1.2,0.03,1,4.02,9.469999999999999,0.56,1.79,16.95
a,c,0.82,0.93,1.07,0.35,1.24,0.02,1.55,0.17,1,8.79,18.009999999999998,0.95,1.05,18.91
b,e,1.2,0.03,-0.8,-0.32,1.39,0.01,-0.59,1.11,1,8.79,14.53,0.88,1.14,16.56
a,a,1.2,1.7,0.21,-0.46,-0.54,0.15,-1.15,-2.0,1,6.27,11.07,0.86,1.16,12.84
d,d,0.11,1.58,0.63,0.53,-1.08,1.66,1.69,-1.53,0,8.48,9.64,0.73,3.7,35.67
e,b,1.12,0.05,-1.37,0.19,0.94,-1.85,-0.87,2.68,0,10.05,4.4,0.57,2.33,10.25
a,a,0.75,-0.03,-0.45,0.15,-1.15,1.0,-0.72,-0.75,0,3.5,4.88,0.49,1.96,9.56
a,a,0.01,0.14,-1.38,0.68,0.72,1.5,-0.43,-0.08,1,3.69,10.75,0.93,1.08,11.61
c,a,1.78,-0.28,0.16,0.71,-0.52,1.61,0.73,-0.88,1,6.2,14.5,0.88,1.14,16.53
e,a,0.78,0.92,1.67,-0.15,-0.32,0.05,-0.93,-1.87,0,8.21,6.08,0.69,3.23,19.64
b,b,0.25,1.33,-0.63,0.7,0.97,0.22,-0.08,-0.3,1,5.8,13.97,0.94,1.06,14.81
a,e,0.95,-1.25,0.14,-1.12,-0.01,-0.3,-0.43,0.11,1,3.74,7.279999999999999,0.72,1.39,10.12
a,a,1.38,-0.73,0.25,-0.28,-0.74,0.27,2.49,1.51,1,6.4,13.61,0.68,1.47,20.01
b,d,0.51,0.05,0.43,-0.67,-0.25,-0.08,0.47,-0.74,0,4.34,6.6899999999999995,0.45,1.82,12.18
b,c,0.04,0.8,1.63,-0.39,-1.05,0.07,-0.49,1.43,0,8.01,5.66,0.74,3.85,21.79
d,c,0.49,0.38,0.02,0.17,0.67,-0.22,1.06,-0.57,1,3.34,10.51,0.63,1.59,16.71
b,a,1.17,1.32,-0.51,-0.8,-0.82,0.6,1.09,0.36,1,7.5,14.18,0.9,1.11,15.74
c,b,-0.98,0.78,0.66,-0.53,-0.1,1.36,1.97,0.65,1,6.27,13.87,0.77,1.3,18.03
b,e,0.03,-0.19,-0.78,-0.42,1.28,-0.23,-0.2,0.38,1,4.84,10.41,0.89,1.12,11.66
b,c,-0.05,-0.53,0.17,1.33,0.49,-0.47,-0.46,0.05,1,3.57,9.25,0.86,1.16,10.73
e,d,0.98,0.33,0.1,0.05,0.1,0.34,-1.21,0.76,1,7.14,12.46,0.8,1.25,15.58
e,a,0.39,-0.62,-0.74,-0.07,0.96,0.29,0.68,0.36,0,5.49,7.390000000000001,0.6,2.5,18.48
e,d,0.03,1.63,0.55,0.5,-1.89,-0.04,-0.61,-1.75,1,6.41,11.940000000000001,0.45,2.22,26.51
c,e,1.95,-0.15,1.2,-1.12,0.09,-0.54,-0.39,-0.61,1,8.34,13.11,0.69,1.45,19.01
e,b,-0.4,0.2,-1.05,-0.47,-0.78,0.83,-1.77,1.43,1,5.41,9.23,0.68,1.47,13.57
e,d,-0.92,0.73,-0.48,1.41,-0.23,-0.03,-0.19,0.45,0,5.43,5.14,0.74,3.85,19.79
e,e,0.56,-1.07,-0.55,-0.36,-0.49,0.41,1.49,0.03,1,4.08,9.57,0.61,1.64,15.69
b,b,0.76,-0.79,-0.15,1.12,1.4,0.63,1.37,-0.6,1,6.45,16.84,0.7,1.43,24.08
b,e,-1.69,0.81,-1.12,0.99,1.29,-0.26,-0.07,-0.21,1,6.3,13.36,0.87,1.15,15.36
d,a,-1.7,-0.5,-0.14,0.55,-1.79,-0.75,0.08,0.11,0,1.68,2.88,0.15,1.18,3.4
b,c,1.56,-0.71,0.64,0.91,-0.59,2.0,1.79,1.11,1,9.24,18.310000000000002,0.68,1.47,26.92
e,d,1.06,-0.53,0.43,1.55,1.61,-0.64,-0.37,-0.39,0,9.01,7.67,0.74,3.85,29.53
e,b,0.2,0.53,-0.26,-0.69,0.04,1.38,0.07,-0.95,0,4.7,6.3,0.44,1.79,11.28
b,e,0.75,-0.74,-2.51,-0.79,0.67,-0.49,-1.01,0.05,0,4.75,4.18,0.51,2.04,8.53
c,a,-3.66,-1.24,0.99,0.08,-1.02,0.07,-1.41,-1.08,0,3.18,2.01,0.17,1.2,2.41
e,a,-0.69,-0.17,-0.51,0.31,-0.25,0.99,-0.02,0.82,1,4.74,11.809999999999999,0.84,1.19,14.05
e,b,-0.38,-1.59,0.49,-0.18,-0.16,-0.07,0.26,-0.0,0,2.13,4.81,0.41,1.69,8.13
b,a,2.22,-0.4,1.1,0.69,0.72,-0.32,-0.37,0.08,1,9.45,18.07,0.84,1.19,21.5
e,b,1.57,0.61,0.14,0.11,0.38,-0.65,-0.06,1.4,1,7.83,14.6,0.91,1.1,16.06
b,a,-0.77,-1.28,-0.71,-0.2,1.08,0.15,-1.3,0.44,0,3.92,5.95,0.62,2.63,15.65
d,e,0.17,-0.5,-0.81,0.2,0.11,0.99,-0.59,-1.21,1,2.93,8.01,0.63,1.59,12.74
d,d,-1.03,0.35,-0.46,-0.59,0.42,-0.57,0.22,1.45,1,5.89,11.54,0.56,1.79,20.66
c,c,-0.53,-0.68,1.22,-0.73,0.3,-0.32,1.41,-0.65,1,3.88,9.96,0.6,1.67,16.63
b,c,-1.25,0.57,0.25,0.77,0.41,1.57,-0.67,0.2,1,6.4,12.29,0.63,1.59,19.54
c,b,-1.25,0.33,0.52,0.16,-1.23,-0.41,2.1,-0.23,0,2.53,5.51,0.18,1.22,6.72
d,d,-1.31,1.02,0.66,0.03,-1.63,1.66,-0.68,-0.67,1,5.9,11.6,0.68,1.47,17.05
c,d,0.39,-0.96,1.32,-2.04,-0.71,2.61,-1.71,0.76,1,8.25,13.96,0.45,2.22,30.99
d,d,0.11,-0.34,-0.05,0.1,1.38,0.38,-0.65,-0.14,1,4.54,11.18,0.73,1.37,15.32
d,d,1.25,-0.95,1.34,0.77,0.7,-0.38,1.67,-0.57,1,8.84,16.93,0.81,1.23,20.82
a,d,0.34,-0.74,-1.3,-2.59,0.56,-1.04,-0.18,0.24,1,5.48,9.51,0.69,1.45,13.79
d,b,-0.2,1.15,-1.13,-0.23,0.38,0.26,-0.21,-1.75,1,3.11,9.68,0.78,1.28,12.39
a,e,-0.88,1.24,0.1,-1.0,-0.98,1.26,-0.89,0.6,1,6.95,11.95,0.5,2.0,23.9
d,b,0.13,-0.39,0.62,1.4,0.19,0.25,1.38,0.14,1,2.95,10.35,0.77,1.3,13.46
c,d,1.23,0.9,0.09,0.2,0.69,1.82,-0.02,1.86,1,12.13,21.72,0.96,1.04,22.59
b,c,0.44,-1.79,1.1,-0.57,-0.89,0.01,0.42,0.15,0,5.49,4.43,0.22,1.28,5.67
a,c,0.71,-1.07,-0.47,-0.46,-0.6,0.31,-0.88,-0.01,1,3.68,7.15,0.52,1.92,13.73
c,a,-0.68,0.11,-0.55,-0.03,-1.67,-0.5,-0.49,1.31,1,4.07,8.3,0.32,3.12,25.9
c,a,-1.19,-0.55,0.46,-1.43,-1.28,-0.02,-0.45,0.49,1,1.66,4.6,0.23,4.35,20.01
a,e,0.09,1.53,2.24,-0.86,-0.19,0.02,-0.68,-0.54,1,8.43,14.43,0.88,1.14,16.45
a,c,0.06,0.11,-1.95,-1.47,-0.05,0.73,2.37,-1.12,1,2.91,8.809999999999999,0.36,2.78,24.49
c,c,0.42,-0.98,0.81,-0.18,-0.26,0.59,-0.94,-0.05,1,4.56,10.309999999999999,0.66,1.52,15.67
a,b,-1.28,0.44,-0.26,-1.55,-1.54,-0.19,0.23,-0.99,1,2.82,5.3,0.29,3.45,18.28
e,b,-0.8,-1.64,1.96,0.22,0.98,-1.47,-0.37,1.27,0,8.15,5.45,0.36,1.56,8.5
c,b,0.06,0.2,0.38,-1.41,-0.02,0.52,-0.4,-1.79,1,2.1,7.87,0.4,2.5,19.68
a,b,-0.96,0.68,-0.41,-0.65,-0.2,-0.91,-0.55,1.81,1,6.12,10.719999999999999,0.44,2.27,24.33
a,b,0.37,0.13,0.73,-0.71,-0.12,1.88,-0.99,-0.43,1,4.86,10.41,0.51,1.96,20.4
d,c,1.44,1.0,-0.1,-0.1,1.01,0.79,-1.08,0.5,1,7.55,14.42,0.87,1.15,16.58
e,d,0.03,-1.03,0.63,-0.06,-0.51,-2.67,0.7,-1.63,0,3.55,3.66,0.25,1.33,4.87
e,c,-0.5,1.01,0.1,0.03,0.7,0.22,-0.6,-0.4,1,5.0,10.59,0.8,1.25,13.24
b,d,2.15,-1.66,-0.44,-0.14,1.49,-0.69,0.37,-1.1,0,10.04,7.9,0.6,2.5,19.75
c,a,0.78,1.0,-0.55,0.63,0.65,-2.12,-0.41,0.39,1,5.99,10.89,0.9,1.11,12.09
c,d,-2.09,-0.96,0.49,-0.69,-1.41,0.39,-0.18,1.16,0,4.18,4.24,0.27,1.37,5.81
e,c,0.21,-0.37,-0.48,1.73,-0.78,0.98,1.36,-0.67,0,2.97,8.18,0.38,1.61,13.17
b,c,-0.86,0.44,0.93,-0.06,-0.31,0.02,-0.0,0.1,0,3.69,5.55,0.47,1.89,10.49
c,d,-0.77,-0.71,-0.06,0.16,-0.54,-0.48,-0.67,-1.76,1,3.23,7.1899999999999995,0.4,2.5,17.97
d,e,-0.28,-0.88,-0.53,1.31,1.07,-0.99,0.05,0.07,1,3.57,10.29,0.4,2.5,25.72
d,d,-1.07,0.41,0.55,1.49,-0.16,-1.82,-0.7,0.71,0,5.54,4.28,0.43,1.75,7.49
e,c,0.22,-0.54,-1.48,-1.95,-0.77,-0.53,0.22,-0.87,1,2.67,5.88,0.46,2.17,12.76
d,c,0.89,-1.5,0.48,-0.7,0.03,-0.85,-0.03,-0.98,0,4.13,3.62,0.3,1.43,5.18
a,d,-1.1,-0.86,0.86,0.97,-0.0,1.5,1.0,1.21,0,7.27,7.25,0.68,3.13,22.69
b,d,-1.67,-0.46,1.06,-0.12,-1.29,1.27,1.66,1.63,1,7.61,15.34,0.69,1.45,22.24
b,e,-0.24,1.27,-0.0,-0.69,-0.69,2.2,1.68,-1.83,1,5.73,13.96,0.61,1.64,22.89
d,e,1.94,1.19,1.22,0.86,-0.75,-1.95,-1.65,0.17,1,10.24,14.78,0.86,1.16,17.14
e,a,0.42,0.03,0.44,-0.7,-0.14,-1.34,0.8,-0.28,0,2.76,4.39,0.38,1.61,7.07
d,d,0.36,0.48,0.04,0.28,-1.46,-0.61,0.67,0.51,1,4.58,10.23,0.72,1.39,14.22
a,b,0.9,-0.95,0.56,-1.25,0.73,0.73,0.79,1.17,1,7.32,14.8,0.74,1.35,19.98
d,e,2.05,0.65,-0.99,1.15,1.22,1.05,0.91,-0.54,1,10.48,20.96,0.96,1.04,21.8
e,a,0.33,-0.12,-1.12,-0.41,1.31,0.07,-1.61,-1.54,1,3.92,9.66,0.57,1.75,16.9
c,d,0.64,-0.28,0.7,-0.43,0.47,1.63,-0.67,0.34,1,6.57,13.52,0.89,1.12,15.14
d,e,1.93,-0.05,-0.81,-0.4,-0.57,0.07,0.49,-1.01,0,6.15,6.9,0.6,2.5,17.25
c,a,-0.06,-1.44,-0.12,0.23,-0.35,-0.83,-0.26,0.17,0,2.06,3.69,0.25,1.33,4.91
d,c,0.67,-0.33,-0.31,0.52,-0.58,-0.23,-0.53,-0.8,0,2.06,5.43,0.42,1.72,9.34
e,c,1.03,-0.66,-0.05,0.21,-0.63,0.61,0.47,0.79,0,6.13,4.96,0.71,3.45,17.11
a,a,0.47,0.89,1.52,-1.79,1.09,1.52,0.15,1.06,0,11.61,8.870000000000001,0.85,6.67,59.16
a,e,-0.38,1.11,-0.83,-0.45,0.39,0.19,0.01,-1.74,1,4.33,10.54,0.51,1.96,20.66
d,e,-1.25,-0.65,-0.91,0.79,-1.3,0.25,-1.07,-0.6,0,2.22,2.9,0.26,1.35,3.92
e,b,-1.27,-0.97,-0.61,1.48,0.29,-1.6,-1.06,-0.2,0,2.14,3.4699999999999998,0.15,1.18,4.09
e,e,-0.24,0.39,0.87,-0.34,-1.15,-1.09,0.21,1.0,1,6.4,10.05,0.57,1.75,17.59
c,e,-0.9,-0.59,0.29,0.26,-0.91,1.16,1.06,1.92,1,5.98,11.620000000000001,0.62,1.61,18.71
a,d,-0.46,-0.02,-1.56,0.12,-0.6,-0.04,0.5,-0.07,0,3.29,5.29,0.44,1.79,9.47
a,e,1.07,0.58,-0.83,-0.52,-0.48,-0.21,2.38,0.61,1,7.13,14.28,0.87,1.15,16.42
d,a,-0.67,-0.33,0.75,-0.14,-1.44,1.83,0.44,-0.53,1,2.95,10.440000000000001,0.26,3.85,40.19
d,d,-0.53,-0.4,0.36,-0.16,0.54,0.98,-1.46,1.47,1,7.27,13.88,0.58,1.72,23.87
a,c,1.2,0.73,0.84,0.91,1.48,-1.49,-0.96,-1.66,1,8.65,14.19,0.83,1.2,17.03
b,e,1.55,-0.24,0.97,0.25,-0.81,-0.23,0.07,-0.06,1,6.92,13.36,0.61,1.64,21.91
b,d,0.12,0.79,0.27,0.57,0.71,1.02,1.6,-1.3,1,7.62,16.97,0.87,1.15,19.52
b,c,0.03,0.77,-0.55,-0.91,0.2,1.33,1.85,-2.26,0,4.17,8.68,0.58,2.38,20.66
a,b,-1.23,-0.55,0.64,-0.04,-0.23,0.07,0.02,1.54,1,4.26,9.059999999999999,0.7,1.43,12.96
d,b,0.03,1.44,-1.4,0.73,-0.28,-0.03,1.51,-1.38,1,4.97,12.66,0.48,2.08,26.33
b,e,0.86,-1.17,2.0,-0.32,0.55,1.21,0.17,0.08,1,8.45,15.79,0.86,1.16,18.32
c,a,-1.43,2.05,0.19,-0.14,0.62,1.66,-0.19,0.92,1,8.15,15.43,0.85,1.18,18.21
c,e,0.0,0.86,-1.1,1.47,0.47,0.72,1.32,0.05,0,4.42,8.8,0.76,4.17,36.7
b,a,0.75,0.33,-1.5,1.15,-0.41,-2.05,-0.07,1.34,1,5.77,11.73,0.6,1.67,19.59
d,b,1.06,-1.39,0.25,1.1,0.75,0.37,-1.86,0.83,0,7.37,6.890000000000001,0.57,2.33,16.05
a,c,-0.04,1.49,0.33,1.3,0.73,-1.11,1.49,0.12,1,7.19,13.67,0.87,1.15,15.72
d,d,-1.78,0.44,-0.47,0.92,0.75,-0.29,0.52,0.19,1,4.9,10.49,0.64,1.56,16.36
c,c,1.39,0.65,-0.82,-0.75,-1.84,-1.07,1.36,-0.76,1,4.97,8.21,0.23,4.35,35.71
b,e,0.32,1.99,-1.07,-0.46,1.34,-0.25,0.79,-0.29,1,7.7,14.74,0.94,1.06,15.62
b,e,-0.53,-1.07,0.57,-1.05,-0.03,0.07,0.04,-0.57,1,3.44,9.23,0.42,2.38,21.97
a,d,-0.09,0.9,-0.88,-0.91,-1.49,-0.13,-0.34,0.34,1,4.48,8.74,0.64,1.56,13.63
c,e,0.79,-0.28,0.53,0.43,-0.33,1.78,-0.11,-1.77,0,5.63,7.63,0.83,5.88,44.86
d,a,0.87,0.47,0.95,0.5,0.8,-1.86,0.62,0.32,1,7.49,14.12,0.83,1.2,16.94
b,d,1.24,-2.28,-0.27,0.6,-0.6,1.61,-0.27,-0.95,0,6.66,7.75,0.45,1.82,14.1
d,d,-0.36,-0.53,-2.29,-1.12,-1.24,0.16,1.81,-0.84,0,3.4,4.21,0.25,1.33,5.6
a,a,-0.4,-0.1,0.96,-0.47,1.68,-1.33,0.13,-1.18,0,6.66,5.1,0.67,3.03,15.45
e,b,-0.86,0.18,1.11,-0.54,0.14,0.47,0.39,0.01,1,4.36,11.46,0.36,2.78,31.86
e,e,0.04,0.19,-0.38,-0.85,0.29,0.56,-0.21,-0.65,1,3.12,9.32,0.5,2.0,18.64
a,e,1.53,0.04,0.14,0.65,-0.6,-2.36,0.14,1.51,1,7.34,12.64,0.81,1.23,15.55
c,d,-0.12,-1.31,-0.8,-1.27,-0.1,0.22,0.32,1.43,0,4.52,5.59,0.39,1.64,9.17
a,c,2.09,-0.85,0.81,-1.08,-0.64,1.26,2.25,-0.49,0,7.91,8.03,0.43,1.75,14.05
c,c,-0.27,0.46,0.21,0.44,-1.13,-0.27,1.02,-0.52,0,2.15,4.84,0.29,1.41,6.82
d,a,-1.08,0.92,1.48,-2.18,-0.87,0.94,-0.84,0.26,0,5.35,5.26,0.56,2.27,11.94
e,d,0.29,0.31,-0.16,-0.26,1.75,-0.96,1.01,2.8,1,10.85,18.73,0.94,1.06,19.85
b,c,0.92,1.76,0.48,-1.65,0.18,0.18,1.68,0.51,1,9.14,16.119999999999997,0.85,1.18,19.02
c,c,0.63,0.04,0.03,0.68,0.33,-0.95,0.86,-0.33,0,4.28,5.87,0.69,3.23,18.96
d,e,0.89,-0.43,-1.38,0.89,-1.69,0.78,-0.94,-1.51,0,3.37,3.7800000000000002,0.23,1.3,4.91
a,e,0.57,0.05,-0.86,0.79,-3.28,-0.67,-0.79,0.07,0,3.78,3.15,0.2,1.25,3.94
c,e,-0.75,0.78,0.37,-0.3,0.86,0.52,-0.38,0.16,1,5.62,12.84,0.89,1.12,14.38
c,b,-0.25,2.04,-1.07,1.31,0.08,-0.69,0.11,-1.12,1,5.52,12.08,0.64,1.56,18.84
e,b,0.74,-0.94,-0.35,0.44,0.35,-0.44,0.26,1.25,0,6.21,5.59,0.67,3.03,16.94
a,b,0.21,0.28,-1.37,0.97,-0.91,-0.33,0.45,1.09,1,4.0,8.85,0.37,2.7,23.9
e,b,1.23,-0.32,0.5,-0.68,1.82,0.33,-0.47,-1.73,1,8.05,15.61,0.74,1.35,21.07
e,d,1.1,0.84,-1.45,0.38,-0.27,0.78,-0.54,-2.56,1,6.88,13.69,0.53,1.89,25.87
c,b,0.95,-1.08,-0.44,-0.25,-1.87,-0.87,-0.8,0.33,0,3.5,3.2199999999999998,0.25,1.33,4.28
d,c,-1.04,1.69,-0.33,-0.11,0.21,-1.91,0.7,0.13,0,4.9,4.66,0.6,2.5,11.65
a,a,0.74,1.45,-1.18,0.4,0.4,0.46,-0.08,-0.16,1,7.46,14.05,0.95,1.05,14.75
c,a,-1.1,-0.25,0.58,0.41,1.33,-0.35,0.97,1.04,0,5.48,7.1,0.62,2.63,18.67
d,e,-0.03,-0.01,-0.85,-0.32,-1.63,0.68,0.16,-1.42,0,2.72,4.15,0.51,2.04,8.47
b,a,3.0,-0.28,-0.77,0.39,0.73,0.45,-2.12,0.8,1,10.33,17.1,0.91,1.1,18.81
c,a,-2.3,2.1,0.43,1.21,0.44,2.51,0.05,-0.3,1,7.43,16.9,0.93,1.08,18.25
b,a,1.22,-0.46,1.63,0.92,0.57,-0.12,-0.34,-1.13,0,8.07,7.18,0.93,14.29,102.6
a,e,-0.1,0.44,-0.06,1.19,-1.05,0.94,-0.21,0.71,1,5.29,12.15,0.58,1.72,20.9
b,d,-0.64,1.96,-0.99,1.43,0.27,1.32,-0.63,-2.86,1,7.25,15.64,0.88,1.14,17.83
c,d,0.73,-0.35,-0.08,2.22,-0.07,0.93,0.07,1.96,1,7.59,16.05,0.76,1.32,21.19
c,c,-1.78,0.42,-0.08,0.07,-1.39,-0.82,-0.6,0.65,0,2.68,2.27,0.37,1.59,3.61
d,a,0.9,0.28,0.74,-0.95,1.18,-1.29,1.2,1.26,1,8.49,15.8,0.75,1.33,21.01
b,b,0.55,-0.33,-1.0,0.45,0.35,-0.28,0.11,-2.48,1,3.35,9.84,0.35,2.86,28.14
d,c,1.81,-0.39,-0.97,0.12,0.76,-0.27,-1.26,1.79,1,7.26,11.67,0.83,1.2,14.0
a,b,-1.15,1.28,0.92,-0.28,-1.47,-0.66,-0.32,0.93,0,7.31,4.44,0.32,1.47,6.53
c,b,0.0,-1.81,0.13,1.23,-0.32,-1.34,-0.8,-0.57,0,2.14,3.25,0.24,1.32,4.29
b,a,-0.28,0.38,2.0,0.19,0.94,-1.7,1.44,-1.84,1,6.66,14.97,0.82,1.22,18.26
e,e,0.39,0.04,-1.74,-0.86,0.56,-0.43,-0.03,0.65,0,4.13,5.28,0.55,2.22,11.72
a,e,-0.48,0.19,-0.15,-0.69,-0.04,1.68,-0.67,0.17,1,4.56,9.52,0.67,1.49,14.18
a,d,-0.07,-0.67,0.09,-1.66,1.62,0.34,0.26,-0.6,1,5.48,11.05,0.87,1.15,12.71
b,a,-0.12,-0.26,-1.1,-0.68,-0.97,-0.64,-1.45,-0.53,1,1.9,5.99,0.47,2.13,12.76
e,a,1.22,-0.61,-0.4,0.22,-1.78,0.11,0.55,-0.73,0,5.05,6.12,0.3,1.43,8.75
b,e,0.46,-0.74,0.26,-0.69,-1.04,1.42,-1.03,-0.82,1,5.16,9.83,0.48,2.08,20.45
e,a,-0.65,0.42,-1.89,-0.15,-1.14,0.08,0.37,0.04,0,1.9,5.2,0.66,2.94,15.29
b,a,0.86,-0.06,0.28,-0.38,0.4,0.33,1.38,1.33,1,5.91,13.22,0.9,1.11,14.67
e,a,0.17,-1.08,-1.61,-0.44,-0.42,1.48,-2.03,-2.05,1,3.84,8.29,0.71,1.41,11.69
a,b,-0.17,1.39,-0.47,0.77,-0.97,-1.59,0.03,-1.21,0,3.83,4.28,0.42,1.72,7.36
d,a,3.56,-0.05,-1.77,1.06,1.15,-0.69,0.16,0.3,1,9.3,17.79,0.93,1.08,19.21
b,e,0.08,-0.9,-0.0,0.81,0.18,1.78,-0.9,-1.8,1,4.02,11.84,0.67,1.49,17.64
c,b,0.86,-1.09,0.69,-0.94,-0.38,-1.72,1.89,-2.23,0,4.1,5.66,0.12,1.14,6.45
d,e,-0.04,-1.49,0.18,0.45,-0.78,0.43,1.36,-0.73,0,1.88,6.37,0.23,1.3,8.28
e,c,0.56,0.64,1.69,-0.19,0.5,1.05,1.12,-0.73,1,7.73,14.97,0.86,1.16,17.37
a,c,0.58,0.56,0.01,1.32,0.56,-0.61,1.06,-0.42,1,4.88,10.809999999999999,0.87,1.15,12.43
e,e,-0.54,1.28,1.34,0.08,-0.03,0.59,-0.35,0.17,1,8.33,15.89,0.75,1.33,21.13
d,a,1.46,-0.18,0.91,0.01,-0.72,1.15,0.9,0.54,1,6.5,13.93,0.73,1.37,19.08
c,d,-0.86,0.07,0.47,-2.54,0.92,-0.87,-0.06,-0.89,0,4.58,5.04,0.34,1.52,7.66
a,c,-0.05,-0.22,-1.93,0.73,1.41,0.24,0.05,-0.41,0,3.38,5.27,0.58,2.38,12.54
b,a,0.22,-0.57,0.1,1.09,-0.36,-0.37,0.02,-0.04,1,3.31,9.67,0.73,1.37,13.25
d,d,1.46,0.86,1.47,0.42,-1.49,0.51,-0.77,0.09,1,9.4,15.77,0.75,1.33,20.97
b,b,-2.16,0.05,1.29,-0.59,0.02,0.75,-0.51,-2.09,0,3.71,4.8,0.52,2.08,9.98
a,d,-0.02,-0.71,-0.31,0.46,0.81,-0.36,1.19,-0.17,0,4.83,5.89,0.62,2.63,15.49
d,c,0.12,-1.6,0.21,-2.8,0.02,-1.12,2.01,-0.07,0,2.54,4.5,0.39,1.64,7.38
b,e,0.77,-0.93,1.18,-0.44,-1.81,-0.19,0.79,-1.72,0,6.01,4.37,0.42,1.72,7.52
e,d,-0.28,-0.27,-0.94,1.09,-1.61,0.22,2.54,1.15,0,5.53,5.95,0.41,1.69,10.06
a,c,-0.47,-0.92,1.11,-1.93,0.88,-0.25,-2.17,0.29,1,5.96,9.379999999999999,0.68,1.47,13.79
b,c,-0.55,0.24,1.33,-1.12,1.04,0.1,-0.99,-1.68,0,5.65,4.37,0.52,2.08,9.09
c,e,-0.0,0.79,1.16,-0.68,-0.03,0.32,-1.1,0.08,1,4.98,11.42,0.65,1.54,17.59
b,c,0.86,-0.24,1.3,1.09,-0.22,-0.33,-1.31,-0.7,1,6.25,11.280000000000001,0.74,1.35,15.23
c,c,0.67,-0.71,0.2,0.05,1.05,-0.72,0.58,-0.42,1,4.73,11.02,0.65,1.54,16.97
b,a,-1.05,-1.59,0.44,-1.88,-1.21,-1.41,0.72,-1.26,0,2.28,2.13,0.08,1.09,2.32
e,a,0.26,-0.49,0.09,-0.44,0.32,0.41,-1.41,1.13,1,4.96,9.95,0.63,1.59,15.82
e,b,0.75,1.47,1.11,-0.54,1.81,0.19,-0.88,1.96,1,14.07,20.68,0.94,1.06,21.92
b,d,-0.57,-2.46,1.96,-0.39,-1.02,-0.21,0.39,0.75,1,7.0,12.77,0.58,1.72,21.96
c,a,1.36,0.62,0.13,-0.69,-0.87,0.31,-0.42,-0.21,0,4.3,6.0600000000000005,0.62,2.63,15.94
d,e,0.51,-0.76,0.9,-0.64,-0.6,-0.82,-0.38,-1.37,0,5.11,4.22,0.35,1.54,6.5
d,a,1.72,-1.9,-0.37,1.3,1.21,0.39,-0.32,-0.58,0,6.54,7.41,0.8,5.0,37.05
c,c,-1.09,-2.11,-0.69,-0.32,0.9,-1.32,1.31,-0.31,1,1.94,5.58,0.17,5.88,32.81
b,c,-0.05,0.11,1.0,0.51,-1.18,1.1,-0.29,0.64,0,5.98,6.1,0.54,2.17,13.24
c,c,-1.02,0.59,-0.86,-1.06,-1.44,-0.61,0.25,-0.35,1,3.12,6.49,0.26,3.85,24.99
a,b,0.91,1.85,0.11,0.52,0.24,0.18,-0.04,1.85,1,10.4,17.64,0.95,1.05,18.52
b,d,1.12,0.22,1.02,-0.03,-1.0,-1.35,-1.42,-1.11,0,7.17,4.0,0.36,1.56,6.24
b,e,0.63,1.78,2.2,-1.1,0.92,0.73,0.67,0.72,1,12.48,22.07,0.95,1.05,23.17
e,b,-0.31,0.31,0.91,1.62,-1.55,0.6,0.52,1.27,1,7.42,14.76,0.69,1.45,21.4
a,d,0.14,-0.48,-0.21,0.29,1.0,-1.06,0.49,0.39,1,5.43,11.35,0.8,1.25,14.19
d,e,1.0,0.99,0.68,-0.63,-1.33,0.93,-0.9,1.76,1,9.61,14.16,0.52,1.92,27.19
a,e,0.28,-0.4,0.41,-0.02,1.57,0.41,-0.62,0.81,1,6.89,12.85,0.88,1.14,14.65
b,b,0.18,0.51,0.11,1.56,0.07,-0.1,-0.08,0.59,0,5.12,7.21,0.64,2.78,20.04
